year month birth  
   01  1  5734
   01  2  5546
   01  3  6760
   01  4  6469
   01  5  6465
   01  6  6129
   01  7  6131
   01  8  6270
   01  9  6195
   01 10  5926
   01 11  5726
   01 12  5868
   02  1  6014
   02  2  5724
   02  3  6462
   02  4  6199
   02  5  6225
   02  6  5897
   02  7  6013
   02  8  6210
   02  9  6287
   02 10  6000
   02 11  5911
   02 12  5897
   03  1  6175
   03  2  5125
   03  3  6536
   03  4  6405
   03  5  6612
   03  6  5984
   03  7  5865
   03  8  6060
   03  9  6020
   03 10  5876
   03 11  5368
   03 12  5695
   04  1  6110
   04  2  6154
   04  3  6778
   04  4  6305
   04  5  6332
   04  6  6055
   04  7  6050
   04  8  6375
   04  9  6070
   04 10  5908
   04 11  5610
   04 12  5945
   05  1  6250
   05  2  5873
   05  3  6599
   05  4  6610
   05  5  6443
   05  6  5999
   05  7  5947
   05  8  6190
   05  9  6112
   05 10  5912
   05 11  5469
   05 12  5678
   06  1  6025
   06  2  5874
   06  3  6687
   06  4  6388
   06  5  6356
   06  6  6060
   06  7  6142
   06  8  6371
   06  9  6344
   06 10  6081
   06 11  5874
   06 12  6004
   07  1  6195
   07  2  5900
   07  3  6791
   07  4  6365
   07  5  6463
   07  6  6113
   07  7  6217
   07  8  6248
   07  9  6359
   07 10  6094
   07 11  5796
   07 12  5783
   08  1  6282
   08  2  6243
   08  3  6760
   08  4  6858
   08  5  6791
   08  6  6537
   08  7  6296
   08  8  6443
   08  9  6274
   08 10  6189
   08 11  5631
   08 12  5929
   09  1  6243
   09  2  6069
   09  3  7156
   09  4  6589
   09  5  6602
   09  6  6172
   09  7  6265
   09  8  6493
   09  9  6390
   09 10  6301
   09 11  5921
   09 12  6100
   10  1  6424
   10  2  5881
   10  3  6856
   10  4  6597
   10  5  6579
   10  6  6109
   10  7  6273
   10  8  6361
   10  9  6219
   10 10  6033
   10 11  5797
   10 12  6170
   11  1  6210
   11  2  5995
   11  3  6627
   11  4  6311
   11  5  6431
   11  6  5970
   11  7  6212
   11  8  6186
   11  9  6168
   11 10  6053
   11 11  5781
   11 12  5989
   12  1  6406
   12  2  6074
   12  3  6691
   12  4  6511
   12  5  6324
   12  6  6015
   12  7  6291
   12  8  6151
   12  9  6175
   12 10  6135
   12 11  5807
   12 12  6079
   13  1  6114
   13  2  5843
   13  3  6506
   13  4  6521
   13  5  6410
   13  6  5933
   13  7  5927
   13  8  6205
   13  9  5857
   13 10  5671
   13 11  5467
   13 12  6021
   14  1  6327
   14  2  5921
   14  3  6717
   14  4  6441
   14  5  6437
   14  6  5881
   14  7  6119
   14  8  6037
   14  9  5951
   14 10  5950
   14 11  5621
   14 12  5892
   15  1  6308
   15  2  5937
   15  3  6715
   15  4  6036
   15  5  5757
   15  6  5773
   15  7  5599
   15  8  5836
   15  9  5671
   15 10  5640
   15 11  5225
   15 12  5682
   16  1  5837
   16  2  5959
   16  3  6588
   16  4  6541
   16  5  6355
   16  6  5872
   16  7  5896
   16  8  5860
   16  9  5874
   16 10  5608
   16 11  5496
   16 12  5673
   17  1  5890
   17  2  5482
   17  3  6498
   17  4  6426
   17  5  6279
   17  6  5715
   17  7  5842
   17  8  5840
   17  9  5858
   17 10  5735
   17 11  5292
   17 12  5449
   18  1  5912
   18  2  5831
   18  3  6657
   18  4  6468
   18  5  6225
   18  6  5800
   18  7  6027
   18  8  6022
   18  9  6109
   18 10  6020
   18 11  5572
   18 12  5862
   19  1  5727
   19  2  5423
   19  3  5983
   19  4  5692
   19  5  5672
   19  6  5296
   19  7  5326
   19  8  5335
   19  9  5496
   19 10  5864
   19 11  6349
   19 12  6559
   20  1  7053
   20  2  7135
   20  3  7610
   20  4  7089
   20  5  7055
   20  6  6302
   20  7  6255
   20  8  6250
   20  9  6170
   20 10  5928
   20 11  5460
   20 12  5923
   21  1  6606
